TYPE,Total_Sales,Non_Taxable_Sales,Taxable_Sales,Tax_Collected
Indiana Sales Tax,8078.97,7290.75,788.22,51.58
"Out of State, or Tax Exempt",5224.35,3541.5,1685.85,0
